categories,source,title,date_text,place,fee,url
🍿 公開予定映画,映画館(公開予定・全国版),日曜のあと,2026年11月20日公開,全国公開予定　※札幌での上映は劇場発表をご確認ください,,https://press.moviewalker.jp/mv94280/
🍿 公開予定映画,映画館(公開予定・全国版),オルモと夏のステレオ,2026年11月20日公開,全国公開予定　※札幌での上映は劇場発表をご確認ください,,https://press.moviewalker.jp/mv94211/
🍿 公開予定映画,映画館(公開予定・全国版),はじまりのさよなら,2026年11月20日公開,全国公開予定　※札幌での上映は劇場発表をご確認ください,,https://press.moviewalker.jp/mv94204/
🎵 音楽ライブ/🍿 公開予定映画,映画館(公開予定・全国版),Creepy Nuts - NORTH AMERICA TOUR: LIVE in NY & DOCUMENTARY FILM,2026年11月20日公開,全国公開予定　※札幌での上映は劇場発表をご確認ください,,https://press.moviewalker.jp/mv94063/
🍿 公開予定映画,映画館(公開予定・全国版),劇場版 アイドルマスター SideM F＠NTASTIC BATTLE FES ～Who goes first～,2026年11月20日公開,全国公開予定　※札幌での上映は劇場発表をご確認ください,,https://press.moviewalker.jp/mv94048/
🍿 公開予定映画,映画館(公開予定・全国版),アザー・マミー,2026年11月20日公開,全国公開予定　※札幌での上映は劇場発表をご確認ください,,https://press.moviewalker.jp/mv94045/
🍿 公開予定映画,映画館(公開予定・全国版),パリ 1970年,2026年11月20日公開,全国公開予定　※札幌での上映は劇場発表をご確認ください,,https://press.moviewalker.jp/mv93704/
🍿 公開予定映画,映画館(公開予定・全国版),あなたが母親の手料理を食べられる回数は、あとどれくらい残ってますか？,2026年11月20日公開,全国公開予定　※札幌での上映は劇場発表をご確認ください,,https://press.moviewalker.jp/mv93700/
🍿 公開予定映画,映画館(公開予定・全国版),ファーザー マザー シスター ブラザー,2026年11月20日公開,全国公開予定　※札幌での上映は劇場発表をご確認ください,,https://press.moviewalker.jp/mv93664/
🍿 公開予定映画,映画館(公開予定・全国版),月がみている,2026年11月20日公開,全国公開予定　※札幌での上映は劇場発表をご確認ください,,https://press.moviewalker.jp/mv93663/
🍿 公開予定映画,映画館(公開予定・全国版),モーツァルト《コジ・ファン・トゥッテ》,2026年11月20日公開,全国公開予定　※札幌での上映は劇場発表をご確認ください,,https://press.moviewalker.jp/mv93572/
🍿 公開予定映画,映画館(公開予定・全国版),ラブル＆クルー IN シアター 2026,2026年11月20日公開,全国公開予定　※札幌での上映は劇場発表をご確認ください,,https://press.moviewalker.jp/mv93338/
🍿 公開予定映画,映画館(公開予定・全国版),ないものねだりの君に光の花束を,2026年11月20日公開,全国公開予定　※札幌での上映は劇場発表をご確認ください,,https://press.moviewalker.jp/mv93324/
🍿 公開予定映画,映画館(公開予定・全国版),『装甲騎兵ボトムズ 灰色の魔女』第1作,2026年11月20日公開,全国公開予定　※札幌での上映は劇場発表をご確認ください,,https://press.moviewalker.jp/mv92735/
🍿 公開予定映画,映画館(公開予定・全国版),劇場アニメーション「魔法使いの夜」,2026年11月20日公開,全国公開予定　※札幌での上映は劇場発表をご確認ください,,https://press.moviewalker.jp/mv92511/
